Loci	ips_0	ips_1	ips_2	pips_0	pips_1	pips_2	mef_0	mef_1	mef_2
p	0.999718	0.000282175	1.8685e-07	0.999994	6.23146e-06	2.03016e-11	0.998382	0.00161689	1.48153e-06
a	0.999605	0.00039447	2.92935e-07	0.999991	8.68423e-06	3.88348e-11	0.999083	0.000916013	6.81921e-07
Zxdb	0.232434	0.76755	1.56887e-05	0.231483	0.768515	1.14242e-06	0.207777	0.791707	0.000515534
Zswim5	0.987781	0.0122153	3.7297e-06	0.990083	0.00991688	4.57488e-09	0.975674	0.024292	3.41697e-05
Zswim2	0.999985	1.47435e-05	4.27409e-09	1	4.41166e-09	2.75518e-13	0.999967	3.28676e-05	9.33831e-09
Zscan20	0.751006	0.248959	3.557e-05	0.760359	0.239641	2.00472e-07	0.751161	0.248763	7.64187e-05
Zscan2	0.999394	0.000605761	5.23123e-07	0.999986	1.39541e-05	4.37673e-11	0.999059	0.000940765	7.03106e-07
Zpbp2	0.999916	8.35889e-05	3.85181e-08	1	2.01416e-07	5.31958e-12	0.999817	0.000183291	8.20463e-08
Zpbp	0.999847	0.000152583	8.41782e-08	0.999999	1.0597e-06	1.67637e-11	0.999664	0.000335803	1.80518e-07
Zp3r	0.999959	4.12392e-05	1.55539e-08	1	3.08579e-08	1.12965e-12	0.999877	0.000122524	4.88602e-08
Zp3	0.994581	0.00540736	1.15446e-05	0.999996	4.36848e-06	8.53588e-12	0.999922	7.80345e-05	2.71095e-08
Zp2	0.999968	3.15908e-05	1.10843e-08	1	4.53756e-08	2.70483e-12	0.999934	6.63848e-05	2.24302e-08
Zp1	0.999828	0.000171695	9.8127e-08	0.999998	1.53863e-06	1.81415e-11	0.999517	0.000482594	2.91359e-07
Znrf4	0.999542	0.000457711	3.50329e-07	0.999982	1.76699e-05	3.80626e-11	0.998031	0.00196705	1.92591e-06
Zmynd15	0.999362	0.000637392	5.66862e-07	0.999991	9.46632e-06	4.82987e-11	0.999551	0.000448719	2.60923e-07
Zmynd12	0.999852	0.000148023	8.12796e-08	1	3.90539e-07	7.33933e-12	0.999839	0.000160726	6.91937e-08
Zmynd10	0.995126	0.00486835	5.32179e-06	0.99825	0.00175009	2.28826e-09	0.995989	0.00400833	2.74625e-06
Zmiz1	0.966021	0.033971	7.5493e-06	0.969702	0.030298	1.3029e-08	0.951738	0.0482103	5.17033e-05
Zmat4	0.999782	0.000217899	1.35912e-07	1	1.36617e-07	1.64645e-12	0.999917	8.2653e-05	2.95776e-08
Zmat1	0.99909	0.000909426	3.36711e-07	0.99949	0.000509501	2.63317e-10	0.961683	0.0381879	0.000128714
Zkscan6	0.9994	0.000599995	3.68561e-07	0.99985	0.000150039	5.54586e-10	0.997567	0.00243056	2.41841e-06
Zim1	0.99995	5.04395e-05	2.00944e-08	1	1.00378e-07	2.72789e-12	0.999717	0.000283204	1.44632e-07
Zic4	0.999941	5.8793e-05	2.44147e-08	1	2.36321e-07	1.10328e-11	0.999879	0.000121141	4.8125e-08
Zic1	0.564742	0.435252	5.34254e-06	0.0804152	0.915158	0.00442692	0.0765077	0.919548	0.00394408
Zhx3	0.94441	0.055585	4.50027e-06	0.946469	0.0535314	3.48536e-08	0.924962	0.0749654	7.20784e-05
Zhx2	0.00996422	0.990008	2.76562e-05	0.00773148	0.992253	1.57849e-05	0.0018965	0.995296	0.0028077
Zfyve28	0.972257	0.0276816	6.17085e-05	0.989273	0.0107273	3.85348e-09	0.981334	0.0186502	1.59327e-05
Zfyve27	0.13059	0.869373	3.68293e-05	0.132861	0.867137	1.66957e-06	0.132531	0.867193	0.000275894
Zfyve16	0.35364	0.64632	3.97391e-05	0.359451	0.640549	5.20252e-07	0.330293	0.669279	0.000427783
Zfy1	0.999792	0.000208348	1.26235e-07	0.999997	2.61781e-06	7.95916e-12	0.998154	0.00184441	1.77851e-06
Zfpm2	0.580216	0.419771	1.32744e-05	0.581896	0.418103	5.99559e-07	0.144301	0.841568	0.0141309
Zfp94	0.995639	0.00436019	1.21703e-06	0.996649	0.00335104	1.13339e-08	0.993695	0.00630124	4.1302e-06
Zfp92	0.999293	0.000706273	6.04778e-07	0.999951	4.93698e-05	1.36842e-10	0.99855	0.0014484	1.23387e-06
Zfp9	0.40258	0.597386	3.31537e-05	0.402525	0.597438	3.7298e-05	0.000268381	0.759235	0.240496
Zfp82	0.916092	0.0838298	7.7927e-05	0.935365	0.0646352	1.47991e-07	0.937249	0.0627417	9.53232e-06
