ENSMUST00000000264	0.774797	5.98509	6.50821	3.24523	4.55804
ENSMUST00000000266	1.74543	1.13246	0.97008	0.451218	1.19949
ENSMUST00000000514	2.09034	6.87092	2.89794	9.10753	10.6292
ENSMUST00000000834	1.62556	0.606678	0.860536	0.631706	0.799657
ENSMUST00000001027	3.8277	8.45225	6.78119	13.9807	11.3097
ENSMUST00000001166	5.22252	5.01362	3.63663	17.6701	15.0257
ENSMUST00000001171	4.26115	3.55124	3.3162	10.0082	10.0757
ENSMUST00000001172	5.38394	10.515	8.76235	17.1162	18.0691
ENSMUST00000001284	5.38394	7.5577	5.64591	12.8252	11.1889
ENSMUST00000001339	2.79535	5.23646	4.1287	4.23614	6.87391
ENSMUST00000001724	3.10085	6.62984	4.45147	6.85144	7.5105
ENSMUST00000002533	6.37831	3.92318	3.25645	13.9842	14.3029
ENSMUST00000003135	5.13802	2.58849	2.05088	11.6344	10.0741
ENSMUST00000003219	4.43704	5.17619	3.6132	9.45789	10.6292
ENSMUST00000003550	2.82312	6.87568	4.57098	9.82771	10.3093
ENSMUST00000003554	3.35057	3.90891	3.11644	4.40955	5.37338
ENSMUST00000003818	4.50256	7.9677	5.4772	12.9845	15.4271
ENSMUST00000004133	4.39218	3.91842	2.68412	7.84412	7.19534
ENSMUST00000004214	3.58178	2.70507	1.22432	3.06828	2.5589
ENSMUST00000004565	5.80742	10.515	9.0078	16.4155	16.9386
ENSMUST00000004827	0.923395	1.8811	3.0233	0.541462	0.55976
ENSMUST00000004829	3.02465	1.81845	2.44336	5.31553	3.91048
ENSMUST00000004994	3.5305	2.55439	1.51311	2.79578	3.17824
ENSMUST00000005003	5.55461	6.99384	3.73211	18.3956	20.8444
ENSMUST00000005470	4.41734	2.22607	1.67714	13.786	11.0306
ENSMUST00000005817	7.92624	8.45066	9.14195	18.0275	17.5799
ENSMUST00000005820	1.66828	1.13167	1.2249	1.98536	1.91918
ENSMUST00000005824	3.58676	5.10561	5.48072	10.3975	10.3893
ENSMUST00000005907	2.00322	3.12221	2.39005	2.19947	3.27702
ENSMUST00000006037	8.683	10.8845	7.66808	26.4202	28.2859
ENSMUST00000006164	0.835328	1.06744	0.537762	0.360975	0.464114
ENSMUST00000006167	6.95941	14.9227	11.8659	24.7232	27.3279
ENSMUST00000006171	1.03401	1.19274	0.836518	0.99268	1.99914
ENSMUST00000006462	6.29143	10.036	9.30949	21.6072	22.0235
ENSMUST00000006467	3.88942	5.00806	2.59918	9.78878	11.1889
ENSMUST00000006570	5.03761	6.95736	5.55394	9.28802	8.15179
ENSMUST00000006578	2.45186	1.15467	1.28407	1.61377	1.43938
ENSMUST00000006579	3.53145	4.92876	3.25645	10.0064	9.50337
